brand_name,good_name,price,zhupingchicun,zhupingfenbianlv,houzhishexiangtou,qianzhishexiangtou,dianchirongliang,dianchileixing,hexinshu,neicun,pingfen,pinglunrenshu,xingjiabi,xingneng,xuhang,waiguan,paizhao,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,good_na
360,360 手机N5（全网通）,1599,5.5英寸,1920x1080像素,1300万像素,800万像素,4000mAh,不可拆卸式电池,八核,6GB,7.4,89,9.1,6,8.5,7,6.8,性价比高,-20,系统强悍,-11,性能好,-10,续航出色,-4,运行流畅,-4,手感舒适,-3,机身内存大,-2,外观漂亮,-2,电池容量大,-2,屏幕大,-1,价格合理,-1,屏幕效果好,-1,性能不错,-1,性价比高,-1,价格实惠,-1,相机像素低,-7,电池容量小,-4,外观不是很满意,-4,系统不足,-3,摄像效果一般,-3,屏幕色彩差,-3,成像效果差,-3,屏幕质量一般,-2,音质一般,-2,屏幕一般,-1,续航一般,-1,性价比不高,-1,做工用料稍差,-1,电池表现差,-1,发热量大温度高,-1,360 手机N5
360,360 手机N4（移动4G） ,899,5.5英寸,1920x1080像素,1300万像素,500万像素,3080mAh,不可拆卸式电池,十核,4GB,8.2,297,9.2,7.5,8.2,7.4,7.8,性价比高,-35,运行流畅,-34,外观漂亮,-20,机身内存大,-17,屏幕效果好,-16,手感舒适,-15,价格便宜,-14,系统强悍,-11,续航出色,-9,屏幕大,-9,价格合理,-7,音色音质好,-7,性能好,-5,分辨率高,-4,运行内存大,-4,续航一般,-24,电池容量小,-17,信号差,-15,外观不是很满意,-13,游戏性能低,-4,运行速度慢,-4,音质一般,-4,系统不足,-3,摄像效果一般,-3,屏幕质量一般,-3,音乐效果一般,-2,视频效果差,-2,手感一般,-2,相机像素低,-1,功耗大,-1,360 手机N4
360,360 手机N4（全网通）,995,5.5英寸,1920x1080像素,1300万像素,500万像素,3080mAh,不可拆卸式电池,十核,4GB,8.2,297,9.2,7.5,8.2,7.4,7.8,性价比高,-35,运行流畅,-34,外观漂亮,-20,机身内存大,-17,屏幕效果好,-16,手感舒适,-15,价格便宜,-14,系统强悍,-11,续航出色,-9,屏幕大,-9,价格合理,-7,音色音质好,-7,性能好,-5,运行内存大,-4,游戏运行流畅,-4,续航一般,-24,电池容量小,-17,信号差,-15,外观不是很满意,-13,游戏性能低,-4,运行速度慢,-4,音质一般,-4,系统不足,-3,摄像效果一般,-3,屏幕质量一般,-3,音乐效果一般,-2,视频效果差,-2,手感一般,-2,网络信号差,-1,性价比低,-1,360 手机N4
360,360 手机f4s（全网通）,899,5.5英寸,1920x1080像素,1300万像素,500万像素,4000mAh,,八核,3GB,8.7,4,,,,,,价格合理,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360 手机f4s
8848,8848 钛金手机M2（巅峰版/全网通）,12900,5英寸,1920x1080像素,1300万像素,200万像素,2500mAh,不可拆卸式电池,四核,3GB,4.1,3,2.7,3.7,6,2.7,5.4,性能不错,-1,性能差,-1,价格高,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8848 钛金手机M2
8848,8848 故宫贺岁版手机（全网通）,20000,5英寸,1920x1080像素,2100万像素,300万像素,,,真八核,4GB,5.5,6,5.4,5.4,6.1,6.1,4.7,性价比高,-1,性能不错,-1,外观漂亮,-1,续航一般,-2,机身内存小,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8848 故宫贺岁版手机
8848,8848 钛金手机（全网通）,9999,5英寸,1920x1080像素,1300万像素,200万像素,2500mAh,不可拆卸式电池,四核,3GB,6.8,126,5.8,2,6.6,7.9,7.7,外观漂亮,-23,机身内存大,-9,手感舒适,-7,屏幕效果好,-4,续航出色,-4,价格便宜,-3,价格合理,-2,系统流畅,-2,性能不错,-2,系统强悍,-2,运行流畅,-1,游戏性能不错,-1,电池容量大,-1,分辨率高,-1,视频流畅效果好,-1,价格高,-26,外观不是很满意,-7,续航一般,-7,运行速度慢,-2,性价比不高,-1,信号差,-1,性价比低,-1,机身内存小,-1,发热量大温度高,-1,功能一般,-1,系统不足,-1,性价比差,-1,,,,,,,8848 钛金手机
8848,8848 钛金手机M3（尊享版/全网通）,9999,5英寸,1920x1080像素,2100万像素,500万像素,3200mAh,不可拆卸式电池,真八核,4GB,8.2,29,6.6,8.3,8.6,8.5,9.1,屏幕效果好,-3,系统流畅,-2,续航出色,-1,运行流畅,-1,价格高,-6,外观不是很满意,-3,续航一般,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8848 钛金手机M3
8848,8848 钛金手机M3（风尚版/全网通）,13000,5英寸,1920x1080像素,2100万像素,500万像素,3200mAh,不可拆卸式电池,真八核,4GB,8.2,29,6.6,8.3,8.6,8.5,9.1,屏幕效果好,-3,系统流畅,-2,续航出色,-1,运行流畅,-1,价格高,-6,外观不是很满意,-3,续航一般,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8848 钛金手机M3
8848,8848 钛金手机M3（巅峰版/小牛皮版/全网通）,16000,5英寸,1920x1080像素,2100万像素,500万像素,3200mAh,不可拆卸式电池,真八核,4GB,8.2,29,6.6,8.3,8.6,8.5,9.1,屏幕效果好,-3,系统流畅,-2,续航出色,-1,运行流畅,-1,价格高,-6,外观不是很满意,-3,续航一般,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8848 钛金手机M3
8848,8848 钛金手机M3（巅峰版/鳄鱼皮版/全网通）,20000,5英寸,1920x1080像素,2100万像素,500万像素,3200mAh,不可拆卸式电池,真八核,4GB,8.2,29,6.6,8.3,8.6,8.5,9.1,屏幕效果好,-3,系统流畅,-2,续航出色,-1,运行流畅,-1,价格高,-6,外观不是很满意,-3,续航一般,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8848 钛金手机M3
21克,21克C1,299,2.4英寸,340x320像素,,,,,单核,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21克C1
22克,21克M2S（移动4G）,499,4英寸,800x480像素,500万像素,30万像素,2000mAh,可拆卸式电池,四核,1GB,9,5,9.9,8.7,9.1,9.5,7.9,性价比高,-1,屏幕大,-1,界面简约,-1,续航出色,-1,外观不是很满意,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21克M2S
23克,21克M3L（移动4G）,699,5英寸,1280x720像素,800万像素,200万像素,2350mAh,可拆卸式电池,四核,1GB/3GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21克M3L
Acer,Acer E130（beTouch）,1200,2.6英寸,320x240像素,320万像素,,,,,256MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acer E130
Acer,Acer X960,1490,2.8英寸,640x480像素,300万像素,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acer X960
Acer,Acer E100（C1）,1350,3.2英寸,400x240像素,200万像素,,1140mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acer E100
Acer,Acer M900,1350,3.8英寸,800x480像素,500万像素,,1530mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acer M900
Acer,Acer E200（L1）,2100,3英寸,240×400像素,320万像素,,1140mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acer E200
